dim0,dim1,dim2,dim3,dim4,dim5,dim6,y
-62.0,-54.0,-60.0,-61.0,-71.0,-86.0,-80.0,0.0
-61.0,-59.0,-54.0,-65.0,-66.0,-81.0,-89.0,0.0
-62.0,-57.0,-58.0,-63.0,-70.0,-85.0,-86.0,0.0
-63.0,-59.0,-57.0,-65.0,-69.0,-80.0,-86.0,0.0
-67.0,-61.0,-63.0,-65.0,-71.0,-81.0,-87.0,0.0
-64.0,-55.0,-60.0,-74.0,-66.0,-87.0,-87.0,0.0
-65.0,-57.0,-62.0,-70.0,-67.0,-85.0,-87.0,0.0
-64.0,-57.0,-60.0,-70.0,-69.0,-86.0,-83.0,0.0
-65.0,-58.0,-61.0,-71.0,-69.0,-87.0,-83.0,0.0
-64.0,-56.0,-61.0,-73.0,-66.0,-88.0,-83.0,0.0
-62.0,-57.0,-60.0,-64.0,-67.0,-80.0,-88.0,0.0
-60.0,-53.0,-60.0,-67.0,-64.0,-81.0,-79.0,0.0
-61.0,-60.0,-60.0,-65.0,-67.0,-82.0,-78.0,0.0
-63.0,-58.0,-62.0,-65.0,-68.0,-81.0,-74.0,0.0
-59.0,-56.0,-61.0,-66.0,-71.0,-83.0,-82.0,0.0
-63.0,-59.0,-61.0,-68.0,-71.0,-81.0,-87.0,0.0
-63.0,-58.0,-61.0,-67.0,-69.0,-86.0,-85.0,0.0
-64.0,-56.0,-58.0,-71.0,-69.0,-88.0,-84.0,0.0
-68.0,-51.0,-59.0,-67.0,-65.0,-80.0,-87.0,0.0
-63.0,-57.0,-63.0,-64.0,-67.0,-81.0,-83.0,0.0
-66.0,-57.0,-64.0,-61.0,-69.0,-82.0,-88.0,0.0
-64.0,-57.0,-60.0,-60.0,-65.0,-80.0,-91.0,0.0
-58.0,-50.0,-61.0,-68.0,-64.0,-85.0,-91.0,0.0
-59.0,-58.0,-62.0,-67.0,-65.0,-80.0,-83.0,0.0
-63.0,-61.0,-61.0,-63.0,-68.0,-82.0,-83.0,0.0
-65.0,-58.0,-61.0,-62.0,-71.0,-81.0,-86.0,0.0
-63.0,-59.0,-60.0,-65.0,-69.0,-81.0,-84.0,0.0
-65.0,-59.0,-61.0,-67.0,-70.0,-80.0,-83.0,0.0
-66.0,-57.0,-59.0,-64.0,-69.0,-82.0,-84.0,0.0
-62.0,-57.0,-60.0,-61.0,-69.0,-93.0,-90.0,0.0
-63.0,-58.0,-58.0,-64.0,-66.0,-81.0,-83.0,0.0
-62.0,-58.0,-58.0,-63.0,-68.0,-82.0,-84.0,0.0
-62.0,-56.0,-57.0,-64.0,-65.0,-85.0,-83.0,0.0
-62.0,-57.0,-56.0,-63.0,-66.0,-84.0,-82.0,0.0
-62.0,-55.0,-54.0,-62.0,-69.0,-79.0,-81.0,0.0
-62.0,-53.0,-59.0,-62.0,-66.0,-82.0,-87.0,0.0
-65.0,-56.0,-62.0,-62.0,-68.0,-83.0,-90.0,0.0
-65.0,-54.0,-60.0,-64.0,-65.0,-87.0,-82.0,0.0
-60.0,-53.0,-60.0,-61.0,-69.0,-81.0,-83.0,0.0
-59.0,-56.0,-62.0,-59.0,-67.0,-75.0,-78.0,0.0
-61.0,-52.0,-60.0,-61.0,-68.0,-80.0,-84.0,0.0
-64.0,-60.0,-63.0,-63.0,-72.0,-86.0,-84.0,0.0
-62.0,-51.0,-58.0,-65.0,-72.0,-80.0,-88.0,0.0
-60.0,-54.0,-56.0,-64.0,-70.0,-78.0,-80.0,0.0
-62.0,-53.0,-62.0,-64.0,-68.0,-79.0,-82.0,0.0
-63.0,-51.0,-57.0,-60.0,-66.0,-79.0,-82.0,0.0
-63.0,-51.0,-58.0,-63.0,-68.0,-81.0,-87.0,0.0
-66.0,-52.0,-63.0,-63.0,-68.0,-80.0,-87.0,0.0
-62.0,-58.0,-59.0,-59.0,-67.0,-80.0,-77.0,0.0
-62.0,-56.0,-61.0,-63.0,-65.0,-83.0,-89.0,0.0
-61.0,-51.0,-60.0,-63.0,-66.0,-82.0,-87.0,0.0
-62.0,-53.0,-64.0,-65.0,-69.0,-85.0,-85.0,0.0
-64.0,-55.0,-54.0,-64.0,-68.0,-89.0,-81.0,0.0
-65.0,-54.0,-56.0,-64.0,-66.0,-79.0,-81.0,0.0
-66.0,-56.0,-59.0,-62.0,-67.0,-80.0,-78.0,0.0
-60.0,-62.0,-66.0,-66.0,-71.0,-84.0,-85.0,0.0
-62.0,-64.0,-62.0,-65.0,-75.0,-82.0,-86.0,0.0
-61.0,-56.0,-63.0,-77.0,-67.0,-82.0,-96.0,0.0
-64.0,-52.0,-59.0,-59.0,-66.0,-86.0,-87.0,0.0
-60.0,-54.0,-59.0,-65.0,-66.0,-83.0,-84.0,0.0
-61.0,-58.0,-58.0,-62.0,-66.0,-81.0,-81.0,0.0
-62.0,-54.0,-60.0,-61.0,-70.0,-79.0,-81.0,0.0
-61.0,-57.0,-59.0,-62.0,-69.0,-78.0,-83.0,0.0
-64.0,-57.0,-63.0,-59.0,-68.0,-82.0,-83.0,0.0
-63.0,-57.0,-66.0,-63.0,-68.0,-82.0,-82.0,0.0
-58.0,-57.0,-66.0,-61.0,-68.0,-85.0,-83.0,0.0
-61.0,-56.0,-67.0,-61.0,-69.0,-82.0,-87.0,0.0
-60.0,-56.0,-67.0,-62.0,-69.0,-82.0,-86.0,0.0
-61.0,-56.0,-66.0,-65.0,-71.0,-85.0,-88.0,0.0
-60.0,-57.0,-66.0,-64.0,-70.0,-84.0,-88.0,0.0
-61.0,-56.0,-64.0,-61.0,-72.0,-83.0,-86.0,0.0
-60.0,-57.0,-63.0,-62.0,-72.0,-85.0,-86.0,0.0
-62.0,-60.0,-61.0,-66.0,-69.0,-80.0,-86.0,0.0
-64.0,-59.0,-62.0,-63.0,-69.0,-84.0,-81.0,0.0
-61.0,-58.0,-60.0,-62.0,-70.0,-81.0,-85.0,0.0
-65.0,-61.0,-63.0,-63.0,-69.0,-82.0,-84.0,0.0
-68.0,-56.0,-65.0,-67.0,-76.0,-87.0,-85.0,0.0
-67.0,-56.0,-60.0,-66.0,-73.0,-93.0,-87.0,0.0
-66.0,-55.0,-64.0,-71.0,-75.0,-94.0,-83.0,0.0
-65.0,-57.0,-63.0,-71.0,-76.0,-87.0,-86.0,0.0
-64.0,-56.0,-64.0,-71.0,-75.0,-87.0,-87.0,0.0
-64.0,-57.0,-63.0,-71.0,-77.0,-87.0,-83.0,0.0
-65.0,-58.0,-65.0,-65.0,-74.0,-89.0,-85.0,0.0
-67.0,-65.0,-67.0,-68.0,-75.0,-87.0,-84.0,0.0
-70.0,-62.0,-62.0,-67.0,-69.0,-88.0,-86.0,0.0
-64.0,-58.0,-60.0,-67.0,-68.0,-84.0,-81.0,0.0
-62.0,-53.0,-57.0,-60.0,-69.0,-87.0,-86.0,0.0
-61.0,-56.0,-60.0,-58.0,-67.0,-79.0,-82.0,0.0
-65.0,-54.0,-65.0,-70.0,-74.0,-83.0,-82.0,0.0
-67.0,-57.0,-67.0,-68.0,-75.0,-85.0,-80.0,0.0
-67.0,-55.0,-68.0,-67.0,-74.0,-83.0,-83.0,0.0
-68.0,-57.0,-66.0,-69.0,-76.0,-81.0,-82.0,0.0
-67.0,-56.0,-65.0,-66.0,-75.0,-83.0,-81.0,0.0
-68.0,-55.0,-66.0,-68.0,-75.0,-82.0,-83.0,0.0
-67.0,-57.0,-64.0,-68.0,-75.0,-82.0,-82.0,0.0
-68.0,-55.0,-73.0,-65.0,-76.0,-82.0,-82.0,0.0
-68.0,-55.0,-67.0,-70.0,-76.0,-82.0,-81.0,0.0
-68.0,-56.0,-66.0,-69.0,-75.0,-82.0,-83.0,0.0
-68.0,-57.0,-67.0,-68.0,-75.0,-83.0,-83.0,0.0
-67.0,-56.0,-67.0,-70.0,-74.0,-81.0,-82.0,0.0
-69.0,-59.0,-70.0,-67.0,-75.0,-82.0,-82.0,0.0
-63.0,-58.0,-59.0,-65.0,-74.0,-86.0,-84.0,0.0
-68.0,-55.0,-63.0,-61.0,-74.0,-79.0,-85.0,0.0
-67.0,-57.0,-60.0,-60.0,-75.0,-83.0,-87.0,0.0
-68.0,-57.0,-60.0,-61.0,-73.0,-87.0,-87.0,0.0
-66.0,-56.0,-60.0,-63.0,-74.0,-87.0,-93.0,0.0
-69.0,-58.0,-56.0,-61.0,-73.0,-81.0,-93.0,0.0
-66.0,-57.0,-61.0,-61.0,-73.0,-81.0,-90.0,0.0
-66.0,-57.0,-62.0,-61.0,-74.0,-81.0,-89.0,0.0
-65.0,-57.0,-60.0,-64.0,-74.0,-81.0,-90.0,0.0
-66.0,-57.0,-60.0,-68.0,-74.0,-82.0,-88.0,0.0
-66.0,-57.0,-64.0,-62.0,-68.0,-87.0,-88.0,0.0
-63.0,-57.0,-64.0,-69.0,-75.0,-85.0,-83.0,0.0
-66.0,-58.0,-64.0,-63.0,-73.0,-83.0,-86.0,0.0
-62.0,-58.0,-62.0,-65.0,-75.0,-90.0,-81.0,0.0
-62.0,-59.0,-62.0,-63.0,-74.0,-86.0,-81.0,0.0
-66.0,-58.0,-61.0,-63.0,-73.0,-81.0,-85.0,0.0
-66.0,-60.0,-62.0,-62.0,-70.0,-82.0,-85.0,0.0
-60.0,-52.0,-59.0,-65.0,-66.0,-82.0,-80.0,0.0
-61.0,-59.0,-58.0,-62.0,-65.0,-78.0,-78.0,0.0
-60.0,-57.0,-58.0,-59.0,-70.0,-76.0,-80.0,0.0
-62.0,-52.0,-56.0,-63.0,-64.0,-78.0,-81.0,0.0
-58.0,-56.0,-51.0,-59.0,-65.0,-81.0,-84.0,0.0
-59.0,-57.0,-60.0,-58.0,-67.0,-80.0,-79.0,0.0
-59.0,-57.0,-60.0,-60.0,-63.0,-81.0,-77.0,0.0
-55.0,-53.0,-57.0,-67.0,-64.0,-80.0,-78.0,0.0
-57.0,-53.0,-54.0,-61.0,-73.0,-86.0,-81.0,0.0
-62.0,-52.0,-59.0,-62.0,-64.0,-80.0,-81.0,0.0
-61.0,-55.0,-56.0,-66.0,-73.0,-79.0,-80.0,0.0
-62.0,-55.0,-64.0,-61.0,-60.0,-81.0,-77.0,0.0
-60.0,-51.0,-61.0,-63.0,-64.0,-86.0,-81.0,0.0
-60.0,-59.0,-55.0,-66.0,-66.0,-82.0,-86.0,0.0
-61.0,-54.0,-60.0,-60.0,-64.0,-79.0,-81.0,0.0
-59.0,-52.0,-58.0,-65.0,-66.0,-82.0,-80.0,0.0
-64.0,-52.0,-57.0,-61.0,-66.0,-82.0,-81.0,0.0
-64.0,-50.0,-55.0,-63.0,-66.0,-78.0,-82.0,0.0
-61.0,-53.0,-52.0,-60.0,-72.0,-75.0,-81.0,0.0
-61.0,-52.0,-58.0,-59.0,-70.0,-76.0,-79.0,0.0
-62.0,-53.0,-55.0,-60.0,-68.0,-76.0,-79.0,0.0
-62.0,-51.0,-54.0,-60.0,-74.0,-74.0,-82.0,0.0
-61.0,-57.0,-58.0,-62.0,-67.0,-78.0,-76.0,0.0
-59.0,-50.0,-56.0,-59.0,-62.0,-78.0,-79.0,0.0
-59.0,-49.0,-57.0,-58.0,-65.0,-76.0,-79.0,0.0
108.0,-25.028000000000027,-116.88199999999999,-37.40599999999998,-51.47399999999996,3.796000000000049,-28.517999999999958,1.0
88.0,-45.02800000000003,-106.88199999999999,-67.40599999999998,-51.47399999999996,-66.20399999999995,-18.517999999999958,1.0
118.0,-75.02800000000002,-56.88199999999999,-57.40599999999998,-121.47399999999996,-36.20399999999995,-68.51799999999996,1.0
128.0,-45.02800000000003,-56.88199999999999,-67.40599999999998,-91.47399999999996,-86.20399999999995,-68.51799999999996,1.0
148.0,-45.02800000000003,-26.88199999999999,-27.405999999999977,-111.47399999999996,-56.20399999999995,-68.51799999999996,1.0
148.0,-35.02800000000003,-56.88199999999999,-107.40599999999998,48.52600000000004,-66.20399999999995,-18.517999999999958,1.0
148.0,-15.028000000000027,-36.88199999999999,-37.40599999999998,-31.47399999999996,-76.20399999999995,-108.51799999999996,1.0
158.0,-85.02800000000002,-66.88199999999999,-37.40599999999998,-81.47399999999996,-26.20399999999995,-68.51799999999996,1.0
158.0,-105.02800000000002,-106.88199999999999,-27.405999999999977,-101.47399999999996,-26.20399999999995,-68.51799999999996,1.0
158.0,-55.02800000000003,-56.88199999999999,-37.40599999999998,-71.47399999999996,-46.20399999999995,1.482000000000042,1.0
158.0,-85.02800000000002,-66.88199999999999,-87.40599999999998,-121.47399999999996,3.796000000000049,1.482000000000042,1.0
138.0,-35.02800000000003,-106.88199999999999,-87.40599999999998,-141.47399999999996,13.79600000000005,-78.51799999999996,1.0
108.0,-65.02800000000002,-106.88199999999999,-87.40599999999998,-121.47399999999996,-16.20399999999995,1.482000000000042,1.0
128.0,-55.02800000000003,-76.88199999999999,-77.40599999999998,-61.47399999999996,33.79600000000005,-48.51799999999996,1.0
118.0,-55.02800000000003,-36.88199999999999,-67.40599999999998,-151.47399999999996,3.796000000000049,-18.517999999999958,1.0
98.0,-45.02800000000003,-46.88199999999999,-47.40599999999998,-81.47399999999996,-16.20399999999995,-48.51799999999996,1.0
118.0,-55.02800000000003,-56.88199999999999,-37.40599999999998,-111.47399999999996,-16.20399999999995,-38.51799999999996,1.0
118.0,-55.02800000000003,-96.88199999999999,-47.40599999999998,-111.47399999999996,-86.20399999999995,1.482000000000042,1.0
88.0,-15.028000000000027,-96.88199999999999,-27.405999999999977,-51.47399999999996,-16.20399999999995,-68.51799999999996,1.0
98.0,-45.02800000000003,-126.88199999999999,-27.405999999999977,-31.47399999999996,-16.20399999999995,-98.51799999999996,1.0
128.0,-85.02800000000002,-66.88199999999999,-87.40599999999998,-131.47399999999996,3.796000000000049,1.482000000000042,1.0
148.0,-65.02800000000002,-106.88199999999999,-37.40599999999998,-81.47399999999996,-76.20399999999995,-38.51799999999996,1.0
138.0,-115.02800000000002,-76.88199999999999,-27.405999999999977,-81.47399999999996,-76.20399999999995,-58.51799999999996,1.0
178.0,-75.02800000000002,-106.88199999999999,-37.40599999999998,-61.47399999999996,-56.20399999999995,-48.51799999999996,1.0
268.0,-45.02800000000003,-46.88199999999999,-37.40599999999998,-101.47399999999996,-56.20399999999995,-38.51799999999996,1.0
148.0,-75.02800000000002,-86.88199999999999,-67.40599999999998,-41.47399999999996,-26.20399999999995,-78.51799999999996,1.0
258.0,-45.02800000000003,-66.88199999999999,-27.405999999999977,-61.47399999999996,-56.20399999999995,-48.51799999999996,1.0
338.0,-85.02800000000002,-166.882,-7.4059999999999775,-41.47399999999996,-6.203999999999951,-78.51799999999996,1.0
348.0,-125.02800000000002,-116.88199999999999,-37.40599999999998,-111.47399999999996,-56.20399999999995,-68.51799999999996,1.0
388.0,-75.02800000000002,-96.88199999999999,-37.40599999999998,-131.47399999999996,-86.20399999999995,-68.51799999999996,1.0
358.0,-155.02800000000002,-106.88199999999999,-27.405999999999977,-71.47399999999996,-96.20399999999995,-108.51799999999996,1.0
368.0,-195.02800000000002,-76.88199999999999,202.59400000000002,-121.47399999999996,-56.20399999999995,-138.51799999999997,1.0
338.0,-115.02800000000002,-56.88199999999999,212.59400000000002,-131.47399999999996,-66.20399999999995,-108.51799999999996,1.0
348.0,-115.02800000000002,-56.88199999999999,192.59400000000002,-101.47399999999996,-46.20399999999995,-128.51799999999997,1.0
348.0,-115.02800000000002,-86.88199999999999,202.59400000000002,-121.47399999999996,-56.20399999999995,-118.51799999999996,1.0
358.0,-125.02800000000002,-96.88199999999999,202.59400000000002,-111.47399999999996,-66.20399999999995,-108.51799999999996,1.0
358.0,-105.02800000000002,-96.88199999999999,192.59400000000002,-111.47399999999996,-36.20399999999995,-128.51799999999997,1.0
358.0,-235.02800000000002,-96.88199999999999,192.59400000000002,-121.47399999999996,-56.20399999999995,-138.51799999999997,1.0
368.0,-85.02800000000002,-96.88199999999999,-7.4059999999999775,-81.47399999999996,-156.20399999999995,-118.51799999999996,1.0
408.0,-95.02800000000002,-116.88199999999999,202.59400000000002,-101.47399999999996,-116.20399999999995,-48.51799999999996,1.0
368.0,-75.02800000000002,-76.88199999999999,212.59400000000002,-71.47399999999996,-106.20399999999995,-238.51799999999997,1.0
318.0,-105.02800000000002,-116.88199999999999,182.59400000000002,-151.47399999999996,-86.20399999999995,-78.51799999999996,1.0
168.0,-65.02800000000002,-96.88199999999999,142.59400000000002,-101.47399999999996,-86.20399999999995,-78.51799999999996,1.0
138.0,-55.02800000000003,-76.88199999999999,-27.405999999999977,-31.47399999999996,-106.20399999999995,-58.51799999999996,1.0
168.0,-65.02800000000002,-106.88199999999999,-37.40599999999998,-21.47399999999996,-136.20399999999995,-48.51799999999996,1.0
148.0,-95.02800000000002,-66.88199999999999,-37.40599999999998,-41.47399999999996,-136.20399999999995,-98.51799999999996,1.0
148.0,-45.02800000000003,-36.88199999999999,-77.40599999999998,-21.47399999999996,-126.20399999999995,-48.51799999999996,1.0
148.0,-75.02800000000002,-26.88199999999999,-57.40599999999998,-21.47399999999996,-116.20399999999995,-38.51799999999996,1.0
158.0,-105.02800000000002,-36.88199999999999,-27.405999999999977,-51.47399999999996,-86.20399999999995,-88.51799999999996,1.0
118.0,-65.02800000000002,-6.881999999999991,-57.40599999999998,-51.47399999999996,-126.20399999999995,-48.51799999999996,1.0
118.0,-25.028000000000027,13.11800000000001,-37.40599999999998,-101.47399999999996,-36.20399999999995,-88.51799999999996,1.0
108.0,-25.028000000000027,3.118000000000009,-127.40599999999998,-51.47399999999996,-146.20399999999995,-28.517999999999958,1.0
58.0,-45.02800000000003,-16.88199999999999,-147.40599999999998,18.52600000000004,-126.20399999999995,-48.51799999999996,1.0
118.0,-75.02800000000002,-26.88199999999999,-37.40599999999998,-41.47399999999996,-136.20399999999995,-58.51799999999996,1.0
78.0,-75.02800000000002,-86.88199999999999,-77.40599999999998,-51.47399999999996,-156.20399999999995,-88.51799999999996,1.0
118.0,-85.02800000000002,-26.88199999999999,-57.40599999999998,-81.47399999999996,-146.20399999999995,-118.51799999999996,1.0
68.0,-75.02800000000002,-86.88199999999999,-57.40599999999998,-101.47399999999996,-126.20399999999995,-98.51799999999996,1.0
108.0,-45.02800000000003,-66.88199999999999,-37.40599999999998,-101.47399999999996,-56.20399999999995,-98.51799999999996,1.0
108.0,-55.02800000000003,3.118000000000009,-87.40599999999998,-71.47399999999996,-106.20399999999995,-108.51799999999996,1.0
118.0,-75.02800000000002,-76.88199999999999,-77.40599999999998,-31.47399999999996,-136.20399999999995,-138.51799999999997,1.0
138.0,-55.02800000000003,-46.88199999999999,-67.40599999999998,-11.473999999999961,-36.20399999999995,-88.51799999999996,1.0
148.0,-25.028000000000027,-26.88199999999999,-87.40599999999998,-171.47399999999996,-36.20399999999995,-88.51799999999996,1.0
78.0,-75.02800000000002,-46.88199999999999,-37.40599999999998,-71.47399999999996,-106.20399999999995,-88.51799999999996,1.0
128.0,-55.02800000000003,-26.88199999999999,-157.40599999999998,-101.47399999999996,-136.20399999999995,-118.51799999999996,1.0
98.0,-75.02800000000002,-56.88199999999999,-67.40599999999998,-81.47399999999996,-136.20399999999995,-118.51799999999996,1.0
78.0,-65.02800000000002,-76.88199999999999,-107.40599999999998,-161.47399999999996,-126.20399999999995,-138.51799999999997,1.0
48.0,-75.02800000000002,-66.88199999999999,-107.40599999999998,-121.47399999999996,-206.20399999999995,-258.518,1.0
148.0,-75.02800000000002,-96.88199999999999,-77.40599999999998,-51.47399999999996,-166.20399999999995,-128.51799999999997,1.0
78.0,-75.02800000000002,-76.88199999999999,-57.40599999999998,-91.47399999999996,-206.20399999999995,-138.51799999999997,1.0
128.0,-25.028000000000027,-56.88199999999999,-77.40599999999998,-81.47399999999996,-86.20399999999995,-118.51799999999996,1.0
98.0,-95.02800000000002,-46.88199999999999,-117.40599999999998,-101.47399999999996,-106.20399999999995,-128.51799999999997,1.0
118.0,-85.02800000000002,-36.88199999999999,-67.40599999999998,28.52600000000004,-146.20399999999995,-138.51799999999997,1.0
98.0,-85.02800000000002,-36.88199999999999,-47.40599999999998,-21.47399999999996,-136.20399999999995,-208.51799999999997,1.0
138.0,-35.02800000000003,-26.88199999999999,-107.40599999999998,-71.47399999999996,-126.20399999999995,-148.51799999999997,1.0
48.0,-55.02800000000003,-36.88199999999999,-47.40599999999998,-61.47399999999996,-126.20399999999995,-158.51799999999997,1.0
98.0,-75.02800000000002,-56.88199999999999,-87.40599999999998,-61.47399999999996,-126.20399999999995,-158.51799999999997,1.0
118.0,-65.02800000000002,-46.88199999999999,-87.40599999999998,-41.47399999999996,-56.20399999999995,-98.51799999999996,1.0
138.0,-55.02800000000003,-36.88199999999999,-137.40599999999998,-1.4739999999999611,-126.20399999999995,-8.517999999999958,1.0
148.0,-35.02800000000003,3.118000000000009,-77.40599999999998,8.526000000000039,-56.20399999999995,-8.517999999999958,1.0
148.0,-55.02800000000003,-26.88199999999999,-127.40599999999998,-1.4739999999999611,-66.20399999999995,-168.51799999999997,1.0
138.0,-55.02800000000003,-46.88199999999999,-47.40599999999998,-71.47399999999996,-86.20399999999995,-68.51799999999996,1.0
148.0,4.971999999999973,-206.882,-47.40599999999998,-71.47399999999996,-126.20399999999995,-78.51799999999996,1.0
148.0,-65.02800000000002,-96.88199999999999,-47.40599999999998,-71.47399999999996,-76.20399999999995,-78.51799999999996,1.0
158.0,4.971999999999973,-26.88199999999999,-77.40599999999998,-41.47399999999996,-66.20399999999995,-48.51799999999996,1.0
128.0,4.971999999999973,13.11800000000001,-167.40599999999998,-41.47399999999996,-96.20399999999995,-138.51799999999997,1.0
148.0,-15.028000000000027,-56.88199999999999,-97.40599999999998,-41.47399999999996,-56.20399999999995,-88.51799999999996,1.0
148.0,-5.028000000000027,-36.88199999999999,-107.40599999999998,-61.47399999999996,-66.20399999999995,-98.51799999999996,1.0
128.0,-45.02800000000003,33.11800000000001,-127.40599999999998,-31.47399999999996,-96.20399999999995,-128.51799999999997,1.0
138.0,-55.02800000000003,-26.88199999999999,-57.40599999999998,-81.47399999999996,-96.20399999999995,-58.51799999999996,1.0
98.0,-75.02800000000002,3.118000000000009,-107.40599999999998,-101.47399999999996,-26.20399999999995,-78.51799999999996,1.0
128.0,-25.028000000000027,3.118000000000009,-57.40599999999998,8.526000000000039,-36.20399999999995,-78.51799999999996,1.0
148.0,-75.02800000000002,-86.88199999999999,-27.405999999999977,-51.47399999999996,-86.20399999999995,-8.517999999999958,1.0
148.0,-125.02800000000002,-106.88199999999999,-87.40599999999998,-31.47399999999996,-106.20399999999995,-98.51799999999996,1.0
158.0,-55.02800000000003,-76.88199999999999,-47.40599999999998,-51.47399999999996,-46.20399999999995,-58.51799999999996,1.0
328.0,-125.02800000000002,-106.88199999999999,-7.4059999999999775,-91.47399999999996,-76.20399999999995,-48.51799999999996,1.0
138.0,-65.02800000000002,-46.88199999999999,-27.405999999999977,-61.47399999999996,-46.20399999999995,-68.51799999999996,1.0
178.0,-75.02800000000002,-86.88199999999999,-57.40599999999998,-141.47399999999996,-96.20399999999995,-68.51799999999996,1.0
338.0,-85.02800000000002,-46.88199999999999,-27.405999999999977,-121.47399999999996,-66.20399999999995,1.482000000000042,1.0
328.0,-55.02800000000003,-46.88199999999999,-27.405999999999977,-1.4739999999999611,-136.20399999999995,-58.51799999999996,1.0
178.0,-35.02800000000003,-46.88199999999999,-57.40599999999998,-1.4739999999999611,-136.20399999999995,-68.51799999999996,1.0
338.0,-95.02800000000002,-56.88199999999999,-17.405999999999977,-21.47399999999996,-46.20399999999995,-88.51799999999996,1.0
378.0,-95.02800000000002,-86.88199999999999,-27.405999999999977,-41.47399999999996,-86.20399999999995,-68.51799999999996,1.0
348.0,-95.02800000000002,-86.88199999999999,172.59400000000002,-71.47399999999996,-96.20399999999995,-88.51799999999996,1.0
338.0,-125.02800000000002,-156.882,142.59400000000002,-181.47399999999996,-76.20399999999995,-58.51799999999996,1.0
388.0,-85.02800000000002,-136.882,182.59400000000002,-181.47399999999996,-106.20399999999995,-58.51799999999996,1.0
398.0,-125.02800000000002,-146.882,182.59400000000002,-131.47399999999996,-76.20399999999995,-78.51799999999996,1.0
398.0,-95.02800000000002,-126.88199999999999,162.59400000000002,-91.47399999999996,-76.20399999999995,-68.51799999999996,1.0
408.0,-95.02800000000002,-176.882,192.59400000000002,-131.47399999999996,-76.20399999999995,-38.51799999999996,1.0
408.0,-135.02800000000002,-126.88199999999999,162.59400000000002,-81.47399999999996,-66.20399999999995,-78.51799999999996,1.0
358.0,-125.02800000000002,-146.882,72.59400000000002,-251.47399999999996,-66.20399999999995,-78.51799999999996,1.0
258.0,-85.02800000000002,-56.88199999999999,-37.40599999999998,-11.473999999999961,-96.20399999999995,-128.51799999999997,1.0
118.0,-75.02800000000002,-156.882,-67.40599999999998,-121.47399999999996,-56.20399999999995,-128.51799999999997,1.0
138.0,-35.02800000000003,-46.88199999999999,-27.405999999999977,-101.47399999999996,13.79600000000005,-8.517999999999958,1.0
148.0,-55.02800000000003,-46.88199999999999,-47.40599999999998,-141.47399999999996,-56.20399999999995,-88.51799999999996,1.0
148.0,-115.02800000000002,-66.88199999999999,-67.40599999999998,-161.47399999999996,3.796000000000049,-18.517999999999958,1.0
118.0,-65.02800000000002,-136.882,-77.40599999999998,-131.47399999999996,-36.20399999999995,-38.51799999999996,1.0
98.0,-85.02800000000002,-126.88199999999999,-57.40599999999998,-131.47399999999996,-6.203999999999951,21.482000000000042,1.0
88.0,-75.02800000000002,-126.88199999999999,-47.40599999999998,-191.47399999999996,-56.20399999999995,-58.51799999999996,1.0
78.0,-75.02800000000002,-126.88199999999999,-107.40599999999998,-191.47399999999996,-106.20399999999995,11.482000000000042,1.0
88.0,-65.02800000000002,-136.882,-57.40599999999998,-141.47399999999996,-36.20399999999995,21.482000000000042,1.0
108.0,-75.02800000000002,-126.88199999999999,-67.40599999999998,-141.47399999999996,-36.20399999999995,-8.517999999999958,1.0
88.0,-65.02800000000002,-116.88199999999999,-67.40599999999998,-141.47399999999996,3.796000000000049,-18.517999999999958,1.0
78.0,-75.02800000000002,-116.88199999999999,-57.40599999999998,-121.47399999999996,-46.20399999999995,-8.517999999999958,1.0
118.0,-85.02800000000002,-146.882,-127.40599999999998,-141.47399999999996,-26.20399999999995,1.482000000000042,1.0
128.0,-125.02800000000002,-166.882,-57.40599999999998,-141.47399999999996,-46.20399999999995,-38.51799999999996,1.0
128.0,-55.02800000000003,-66.88199999999999,-7.4059999999999775,-231.47399999999996,-46.20399999999995,1.482000000000042,1.0
168.0,-95.02800000000002,-66.88199999999999,-27.405999999999977,-71.47399999999996,-6.203999999999951,-108.51799999999996,1.0
168.0,-85.02800000000002,-66.88199999999999,152.59400000000002,-91.47399999999996,-36.20399999999995,-88.51799999999996,1.0
358.0,-85.02800000000002,-126.88199999999999,192.59400000000002,-91.47399999999996,-106.20399999999995,-188.51799999999997,1.0
178.0,-65.02800000000002,-36.88199999999999,-7.4059999999999775,-31.47399999999996,-126.20399999999995,-98.51799999999996,1.0
138.0,-35.02800000000003,-46.88199999999999,-27.405999999999977,-1.4739999999999611,-116.20399999999995,-128.51799999999997,1.0
108.0,-55.02800000000003,-16.88199999999999,-17.405999999999977,-141.47399999999996,-26.20399999999995,-148.51799999999997,1.0
138.0,-5.028000000000027,-136.882,-37.40599999999998,-101.47399999999996,-126.20399999999995,-118.51799999999996,1.0
98.0,-25.028000000000027,-26.88199999999999,-37.40599999999998,-21.47399999999996,-106.20399999999995,-68.51799999999996,1.0
128.0,-55.02800000000003,-56.88199999999999,-37.40599999999998,-51.47399999999996,-116.20399999999995,-78.51799999999996,1.0
118.0,-85.02800000000002,-26.88199999999999,-57.40599999999998,-11.473999999999961,-66.20399999999995,-98.51799999999996,1.0
108.0,-85.02800000000002,-66.88199999999999,-167.40599999999998,-11.473999999999961,-66.20399999999995,-98.51799999999996,1.0
